layer,acc_baseline,suppression_rate
0,0.66625,0.241
1,0.795,0.1685
2,0.78875,0.2855
3,0.795,0.3215
4,0.79375,0.343
5,0.82125,0.358
6,0.8075,0.415
7,0.83125,0.539
8,0.82,0.455
9,0.83,0.515
10,0.83,0.6435
11,0.83125,0.785
12,0.81875,0.748
13,0.80875,0.8045
14,0.81875,0.7695
15,0.8225,0.834
16,0.82875,0.8555
17,0.8275,0.8735
18,0.83625,0.886
19,0.8375,0.8885
20,0.84125,0.7925
21,0.84375,0.862
22,0.85,0.8525
23,0.865,0.8495
24,0.855,0.8765
25,0.8375,0.8025
26,0.82625,0.788
27,0.8325,0.7915
28,0.8275,0.7935
