layer,acc_baseline,suppression_rate
0,0.6525,0.332
1,0.7975,0.166
2,0.7875,0.1685
3,0.80375,0.2845
4,0.81125,0.405
5,0.8225,0.436
6,0.815,0.5365
7,0.82,0.63
8,0.8025,0.7375
9,0.82625,0.771
10,0.8425,0.758
11,0.83125,0.8245
12,0.85,0.872
13,0.84375,0.887
14,0.85625,0.8965
15,0.84625,0.919
16,0.8525,0.9055
17,0.8475,0.946
18,0.85625,0.935
19,0.86125,0.915
20,0.8675,0.885
21,0.8675,0.9405
22,0.85125,0.8565
23,0.85875,0.8825
24,0.85625,0.891
25,0.86,0.823
26,0.8575,0.8115
27,0.85625,0.8575
28,0.85375,0.819
